Fri, 6/7/2013,Away,Brewers,8:10p,20
Sat, 6/8/2013,Away,Brewers,7:15p,19
Sun, 6/9/2013,Away,Brewers,2:10p,14
Tue, 6/11/2013,Away,Twins,8:10p,20
Wed, 6/12/2013,Away,Twins,8:10p,20
Thu, 6/13/2013,Away,Twins,8:10p,20
Fri, 6/14/2013,Away,Rockies,8:40p,21
Sat, 6/15/2013,Away,Rockies,4:10p,16
Sun, 6/16/2013,Away,Rockies,4:10p,16
Mon, 6/17/2013,Home,Nationals,7:05p,19
Tue, 6/18/2013,Home,Nationals,7:05p,19
Wed, 6/19/2013,Home,Nationals,7:05p,19
Fri, 6/21/2013,Home,Mets,7:05p,19
Sat, 6/22/2013,Home,Mets,4:05p,16
Sun, 6/23/2013,Home,Mets,1:35p,14
Mon, 6/24/2013,Away,Padres,10:10p,22
Tue, 6/25/2013,Away,Padres,10:10p,22
Wed, 6/26/2013,Away,Padres,10:10p,22
Thu, 6/27/2013,Away,Dodgers,10:10p,22
Fri, 6/28/2013,Away,Dodgers,10:10p,22
Sat, 6/29/2013,Away,Dodgers,10:10p,22
Tue, 7/2/2013,Away,Pirates,7:05p,19
Wed, 7/3/2013,Away,Pirates,7:05p,19
Thu, 7/4/2013,Away,Pirates,1:35p,14
Fri, 7/5/2013,Home,Braves,7:05p,19
Sat, 7/6/2013,Home,Braves,7:15p,19
Sun, 7/7/2013,Home,Braves,1:35p,14
Mon, 7/8/2013,Home,Nationals,7:05p,19
Tue, 7/9/2013,Home,Nationals,7:05p,19
Wed, 7/10/2013,Home,Nationals,7:05p,19
Thu, 7/11/2013,Home,Nationals,7:05p,19
Fri, 7/12/2013,Home,White Sox,7:05p,19
Sat, 7/13/2013,Home,White Sox,4:05p,16
Sun, 7/14/2013,Home,White Sox,1:35p,14
Fri, 7/19/2013,Away,Mets,7:10p,19
Sat, 7/20/2013,Away,Mets,1:10p,13
Sun, 7/21/2013,Away,Mets,1:10p,13
Tue, 7/23/2013,Away,Cardinals,8:15p,20
Wed, 7/24/2013,Away,Cardinals,8:15p,20
Thu, 7/25/2013,Away,Cardinals,7:15p,19
Fri, 7/26/2013,Away,Tigers,7:08p,19
Sat, 7/27/2013,Away,Tigers,7:08p,19
Sun, 7/28/2013,Away,Tigers,1:08p,13
Tue, 7/30/2013,Home,Giants,7:05p,19
Wed, 7/31/2013,Home,Giants,7:05p,19
Thu, 8/1/2013,Home,Giants,7:05p,19
Fri, 8/2/2013,Home,Braves,7:05p,19
Sat, 8/3/2013,Home,Braves,4:05p,16
Sun, 8/4/2013,Home,Braves,1:35p,14
Tue, 8/6/2013,Home,Cubs,7:05p,19
Wed, 8/7/2013,Home,Cubs,7:05p,19
Thu, 8/8/2013,Home,Cubs,1:05p,13
Fri, 8/9/2013,Away,Nationals,7:05p,19
Sat, 8/10/2013,Away,Nationals,7:05p,19
Sun, 8/11/2013,Away,Nationals,5:05p,17
Mon, 8/12/2013,Away,Braves,7:10p,19
Tue, 8/13/2013,Away,Braves,7:10p,19
Wed, 8/14/2013,Away,Braves,7:10p,19
Fri, 8/16/2013,Home,Dodgers,7:05p,19
Sat, 8/17/2013,Home,Dodgers,7:05p,19
